id,name,type,address,lat,lng,keywords,description,image_url
1,1100고지(휴게소),spot,제주특별자치도 서귀포시 1100로 1555,,,도로|드라이브|산|숲|곶자왈|가족|실외|등산|트레킹|카페뷰|야경|자연|안내소|주차장|화장실|펜션|풍경을 만나볼|겨울이면 꽃이|한라산|제주도|가장 쉽게|여름보다 많은|동쪽에|많은 사람들이,한라산 정상을 동쪽에 끼고 제주시와 서귀포시를 잇는 산간도로 1100로는 제주도 최고의 눈꽃명소· 가장 쉽게 한라산을 조망할 수 있는 뷰포인트· 제주도의 아름다운 드라이브 명소 등 다양한 수식 문구를 가지고 있다. 그만큼 아름다운 풍경을 만나볼 수 있는 곳이다. 특히 겨울이면 눈 꽃이 내린 모습이 장관을 이뤄 여름보다 많은 사람들이 찾는다.,
2,1100고지습지,spot,제주특별자치도 서귀포시 1100로 1555,,,도로|드라이브|습지|호수|산|가족|실외|등산|트레킹|자연|안내소|주차장|화장실|펜션|산지습지로서 16개|2009년에 습지보호지역이|습지는 한라산|습지가 불연속적으로|물은 야생동물의|서식하는 멸종위기|따라 2009년에|낮은,1100고지 습지는 한라산 고원지대에 형성된 대표적인 산지습지로서 16개 이상의 습지가 불연속적으로 분포하고 있으며· 이 습지들을 따라 2009년에 습지보호지역이 설정되었으며 같은 해에 람사르 습지에 등록되었다. 1100고지 습지의 동물과 식생환경에 대한 안내문이 탐방로 곳곳에 설치되어 있어 습지의 정보를 알 수 있다. 이곳에는 한라산에서만 서식하는 멸종위기 1급의 야생동물인 매와 야생생물 등이 존재하고 있으며· 습지의 낮은 곳에 고여있는 물은 야생동물의 식수원 역할을 하고 있다. 습지 안에는 나무로 이루어진 자연 생태탐방로가 있어 걸으면서 습지를 관람할 수 있다.,
3,1112도로,spot,제주특별자치도 제주시 명림로 584,,,도로|드라이브|숲|곶자왈|산|실외|감성|등산|트레킹|자연|리조트|도로이다 삼나무|뻗은 삼나무들이|펼쳐져 한라산국립공원|삼나무가 병풍처럼|대한민국|끝나는 도로이다|동부|국토해양부 1회,대한민국에서 가장 아름다운 도로 중 하나로 길 양 옆으로 하늘로 곧게 뻗은 삼나무들이 병풍처럼 펼쳐져 있다. 한라산국립공원 북동부 끝 지점에서 시작해 제주시 동부 지역을 북동쪽으로 가로지르며 뻗어나가다 평대리해안에서 끝나는 도로이다. 삼나무 길'이라는 별칭이 있을 정도로 길고 긴 도로 양쪽으로 하늘 높이 솟은 삼나무 가로수가 끝도 없이 펼쳐져 이국적이고 운치 있는 분위기로 유명하다. 이 도로는 기존의 도로를 개발한 것이 아니라 원시림을 베어내 새로 길을 냈기 때문에 길 양 옆으로 삼나무가 병풍처럼 펼쳐져 있다. 이러한 특성 때문에 2002년 대한민국 건설교통부(지금의 국토해양부)는 '제 1회 아름다운 도로' 대회에서 이 도로에 대상을 수여하였다.,
4,4.3해원방사탑,spot,제주특별자치도 제주시 신산로 82,,,문화|역사|도로|드라이브|가족|문화재|실내|안내소|주차장|화장실|호텔|게스트하우스|무형의 피해를|방사탑은 거욱대|파괴 무형의|3사건으로 인한|공동체 파괴|돌을 쌓아|대규모 인명|예로부터 마을,제주도에는 예로부터 마을 어느 한 방위에 불길한 징조가 있거나· 풍수지리설에 따라 기운이 허하다고 믿는 곳에 액운을 막기 위해 방사탑을 세웠다. 돌을 쌓아 만든 방사탑은 '거욱대'· '거왁'이라고 불렸으며· 마을의 안녕을 수호한다고 여겼다. 이러한 제주도의 문화풍속을 참고해· 추진위에서는 4·3사건으로 인한 대규모 인명 및 물적 피해 그리고 공동체 파괴 등 무형의 피해를 재앙으로 간주해 해원방사탑을 쌓았다.,
5,5.16도로숲터널,spot,제주특별자치도 서귀포시 516로,,,도로|드라이브|숲|곶자왈|산|실외|힐링|등산|트레킹|자연|나무 터널을|16 도로를|6km 지점에서|도로를 지나면|천천히|제주에서 최초|만날 16도로는|한라산,5.16 도로를 지나면 도로 양쪽 나무가 아치형으로 도로를 감싸는 울창한 나무 터널을 만날 수 있다. 5.16도로는 제주에서 최초 개통된 국도로· 제주시와 서귀포를 이어준다. 한라산 성판악 휴게소를 기점으로 서귀포 방향으로 길을 따라가면 2.6km 지점에서 도로 주변의 상록수와 낙엽수가 숲터널을 이룬다. 사계절 내내 아름다운 산 속의 터널을 달리며 천천히· 느리게 제주의 숲을 느껴보자.,
6,9연대 본부 옛터,spot,제주특별자치도 서귀포시 대정읍 일주서로 2497,,,도로|드라이브|문화|역사|문화재|캠핑|차박|실내|호텔|펜션|게스트하우스|민박|국방경비대 제9연대는|1948년 4월까지|제주도민|정치적 중립을|창설 초기|청년들을 대상으로|500여 명을|11월,국군의 모체인 국방경비대 제9연대는 향토연대로서 1946년 11월 모슬포에서 창설됐다. 다음해 3월부터 제주도민 청년들을 대상으로 1948년 4월까지 모두 8차례에 걸쳐 500여 명을 충원했다. 창설 초기 정치적 중립을 표방하나 1948년 초토화작전이 시행되면서 군경토벌대의 주축이 된다.,
7,SM디지털아트뮤지엄,spot,제주특별자치도 제주시 애월읍 애월해안로 516-7,,,도로|드라이브|바다|문화|역사|실외|실내|기타|디지털아트|상호작용하는 미디어|전시로 1년간|wonderland 열렸다|공간 4200만|화소의 컬러|앨리스|alisa return,SM 디지털아트 뮤지움은 빌라드애월호텔 전시관으로 기간별로 다양한 전시를 볼 수 있다. 개관 후 첫 전시로 1년간 ‘피지털 아트(Phygital Art)’전· 『알리사· 리턴 투 원더랜드 : Alisa· return to wonderland』가 열렸다. 피지털은 몸(Physical)과 디지털(Digital)의 합성어로 사람의 움직임에 반응하며 상호작용하는 미디어 콘텐츠를 의미한다. 500평의 공간· 4200만 화소의 컬러 프로젝션· 다수의 사용자가 동시에 참여할 수 있는 대형 스크린이 설치된 12개의 테마관으로 구성됐다. <이상한 나라의 앨리스>의 이야기를 따라 교육적 효과와 재미를 세심하게 설계한 본 전시는 관람자들에게 즐거운 초현실적 경험을 제공한다.,
8,SOS박물관,spot,제주특별자치도 서귀포시 월드컵로 31,,,도로|드라이브|체험|교육|아이와함께|실내|액티비티|기타|체험공간에서는 재난|매표소에서 재해예방교육|있는 가상현실|박물관에는 다양한|지진이나 산사태가|봉사활동 인증서|가능하다|일깨워주는 sos,현실에서 일어나는 재난 상황을 대비할 방법과 경각심을 일깨워주는 SOS 박물관에는 다양한 체험시설이 있다. 지진이나 산사태가 일어났을 때 모습을 그림으로 나타낸 전시공간과 재난 상황을 실제로 경험해볼 수 있는 가상현실 체험공간이 있다. 가상현실 체험공간에서는 재난 상황에 맞게 체험할 수 있을 뿐 아니라 대처 방법에 대한 설명을 들을 수 있다. 체험 전 매표소에서 재해예방교육 봉사활동 인증서 발급이 가능하다.,
9,THE WE,spot,제주특별자치도 서귀포시 1100로 453-95,,,도로|드라이브|웰니스|스파|가족|카페뷰|야경|힐링|실내|의료|주차장|화장실|리조트|호텔|펜션|건강증진센터에서|5성 서비스를|최초로 호텔과|원스톱 서비스를|대한민국|다양한 헬스케어|프로그램을|we,대한민국 최초로 호텔과 헬스케어 서비스가 융합된 모델로써· 치료뿐 아니라 건강증진센터에서 내적인 안티에이징· 뷰티센터에서 심미적인 안티에이징 등 다양한 헬스케어 프로그램을 운영하고 있다. WE 호텔과 함께 운영되며 5성 호텔 서비스를 결합한 원스톱 서비스를 제공하고 있다.,
10,WE호텔 웰니스센터,spot,제주특별자치도 서귀포시 1100로 453-95,,,도로|드라이브|웰니스|스파|가족|힐링|액티비티|카페뷰|야경|의료|주차장|화장실|리조트|호텔|펜션|호텔은 한국에서|관광과 헬스케어|맞춤형 헬스리조트다|센터에서는 다양한|함유된 물을|치료 프로그램과|we|처음으로,WE 호텔은 한국에서 처음으로 관광과 헬스케어 서비스가 융합된 맞춤형 헬스리조트다. 웰니스 센터에서는 다양한 미네랄 성분이 함유된 물을 이용한 수(水)치료 프로그램과 헬스케어 서비스를 제공한다.,
