id,name,category,address,tags,thumbnailUrl,descriptionShort,openingHours,phone,priceInfo,lat,lng
seongsan-ilchulbong,성산일출봉,attraction,제주특별자치도 서귀포시 성산읍 성산리 1,"자연,가족여행,사진,친구들,혼자",,제주의 대표적인 일출 명소,07:00 - 20:00,064-783-0959,"성인 5,000원", 33.462147, 126.936424
saebyeol-oreum,새별오름,attraction,제주 제주시 애월읍 봉성리 산59-8,"자연,사진,친구들,혼자,가족여행",,제주특별자치도 제주시 애월읍 봉성리에 위치한 측화산이다,정보없음,정보없음,무료, 33.3659432, 126.35644
saryeoni-forest-path,사려니숲길,attraction,제주 제주시 조천읍 교래리 산137-1,"자연,휴식,혼자,사진,가족여행",,한라산둘레길7구간,정보없음,064-900-8800,무료, 33.391, 126.786
samyang-beach,삼양해수욕장,attraction,제주 제주시 삼양동,"자연,휴식,친구들,가족여행,사진,반려동물 동반",,검은 모래가 펼쳐진 제주만의 독특한 분위기를 가진 해수욕장입니다.,정보없음,064-728-3991,무료, 33.531378, 126.531652
sanbangsan,산방산,attraction,제주 서귀포시 안덕면,"자연,사진,가족여행,문화",,"산방산은 제주 서남부 지역의 평탄한 지형 위에 우뚝 솟은 타원형의 돔형(dome) 화산으로 한라산, 성산일출봉과 함께 제주의 3대 산으로 불린다.",09:00-18:00,064-794-2940,무료, 33.2464, 126.2356
dodudong-rainbow-road,도두동 무지개 해안도로,attraction,제주 제주시 도두일동 1734,"자연,사진,친구들",,형형색색의 방파제와 바다 전망이 어우러진 인기 드라이브·포토 스폿입니다.,정보없음,정보없음,무료, 33.4895, 126.4890
donneko,돈내코,attraction,제주 서귀포시 돈내코로 128-1,"자연,휴식,가족여행",,푸른 천연 계곡과 울창한 숲이 어우러진 한여름 피서지로 유명한 자연 휴식 공간입니다.,정보없음,정보없음,무료, 33.3860, 126.5700
gimnyeong-beach,김녕해수욕장,attraction,제주 제주시 구좌읍 김녕리,"자연,사진,휴식,가족여행,반려동물 동반",,에메랄드빛 바다와 고운 백사장이 아름다운 제주 동부 대표 해수욕장입니다.,정보없음,064-728-3988,무료, 33.5670, 126.6780
geum-oreum,금오름,attraction,제주 제주시 한림읍 금악리 산1-1,"자연,사진,혼자,친구들",,서부 중산간 지역의 대표적인 오름 중의 하나이다. ,정보없음,정보없음,정보없음, 33.3139, 126.2728
geumneung-beach,금능해수욕장,attraction,제주 제주시 한림읍 금능리,"자연,사진,가족여행,친구들",,"파란 물감을 풀어놓은 것 같은 바다부터 생김새가 귀여운 비양도, 촉감이 보슬거리는 모래사장까지 이웃한 해변과 비슷한 풍경을 품고 있지만 그보다 사람이 붐비지 않아 여유로운 것이 매력이다.",정보없음,064-728-3983,무료, 33.3910, 126.2391
gyorae-forest-park,교래자연휴양림,attraction,제주 제주시 조천읍 남조로 2023 교래자연휴양림,"자연,휴식,가족여행",,제주의 곶자왈 지역에 조성된 자연휴양림,정보없음,064-710-7475,"성인 1,000원/청소년 600원", 33.381, 126.704
geomun-oreum,거문오름,attraction,제주 제주시 조천읍 선교로 569-36,"자연,사진,혼자,친구들",,제주특별자치도 제주시 조천읍 선흘리와 구좌읍 송당리 경계지대에 발달한 오름,09:00-13:00,064-710-8981,"성인 2,000원/청소년 1,000원", 33.515, 126.795
health-and-sex-museum,건강과성박물관,attraction,제주 서귀포시 안덕면 일주서로 1611 건강과 성 박물관,"문화,친구들,더보기",,인체와 성에 대한 정보를 전시하는 독특한 테마 박물관입니다.,09:00-18:00,064-792-5700,"개인 15,000원", 33.5015, 126.5310
gwakji-beach,곽지해수욕장,attraction,제주 제주시 애월읍 곽지리,"자연,사진,친구들,가족여행",,제주시에 위치한 곽지해수욕장은 입지가 좋아 주변에 청소년 수련장이 설치되고 단체 피서객이 많이 찾는 제주 명소이다.,정보없음,064-728-3985,무료, 33.4501, 126.3170
gwandukjeong,관덕정,attraction,제주특별자치도 제주시 관덕로 19 관덕정,"문화,사진",,제주에서 가장 오래된 누각으로 조선 시대의 건축미를 간직한 역사 유적입니다.,09:00-18:00,064-710-6717,"성인 1,500원/청소년 800원", 33.5100, 126.5186
nexon-computer-museum,넥슨컴퓨터박물관,attraction,제주 제주시 1100로 3198-8 넥슨컴퓨터박물관,"문화,친구들,가족여행",,넥슨컴퓨터박물관은 인류의 삶을 가장 빠르게 변화시킨 현재 진행형 매체인 컴퓨터와 그 발전에 기여해 온 게임의 역사를 함께 조망함으로써 우리의 미래를 상상해 볼 수 있는 체험형 박물관이다,10:00-18:00,064-745-1994,"성인 8,000원/청소년 7,000원", 33.5066, 126.4852
nohyung-supermarket,노형슈퍼마켙,attraction,제주 제주시 노형로 89,"사진,친구들,가족여행",,감성 있는 전시와 포토존들이 가득한 제주 대표 복합 문화 공간입니다.,09:00-19:00,064-713-1888,"성인 15,000원/청소년 13,000원", 33.4649309, 126.4553144
darangshi-oreum,다랑쉬오름,attraction,제주 제주시 구좌읍 세화리,"자연,사진,혼자",,"아끈다랑쉬오름은 다랑쉬오름에 아끈이라는 접두어가 붙은 것인데, 제주 말로 ‘아끈’이란 ‘작은’을 뜻한다",정보없음,정보없음,정보없음, 33.4323, 126.7775
dongmun-market,동문재래시장,attraction,제주 제주시 관덕로14길 20,"친구들,가족여행,더보기",,제주의 다양한 먹거리와 상점들이 모여 있는 활기찬 전통 재래시장입니다.,08:00-21:00,064-752-3001,품목별 상이, 33.5110, 126.5218
camellia-forest,동백포레스트,attraction,제주 서귀포시 남원읍 생기악로 53-38,"반려동물 동반,자연,사진",,동백나무 숲길 사이로 산책을 즐길 수 있는 계절별 포토 스폿입니다.,10:00-17:00,0507-1331-2102,품목별 상이, 33.2500, 126.5580
deurkumda-seongsan,드르쿰다in성산,attraction,제주 서귀포시 성산읍 섭지코지로25번길 64,"반려동물 동반,휴식,사진",,푸른 초원과 목장이 어우러진 감성 카페 겸 포토 명소입니다.,09:00-17:30,0507-1303-2197,품목별 상이, 33.4550, 126.9360
manjanggul,만장굴,attraction,제주 제주시 구좌읍 만장굴길 182,"자연,가족여행,친구들",,세계 자연유산으로 지정된 거대한 용암동굴로 신비로운 지형을 감상할 수 있습니다.,정보없음,정보없음,정보없음, 33.5110, 126.7718
marado,마라도,attraction,제주 서귀포시 대정읍 마라로101번길 46-1,"자연,가족여행,친구들",,마라도는 한국 최남단의 섬이다.,정보없음,064-120,입도(배편) 요금 별도, 33.1060, 126.2220
maze-land,메이즈랜드,attraction,제주 제주시 구좌읍 비자림로 2134-47 메이즈랜드,"반려동물 동반,가족여행,친구들,액티비티",,다양한 테마의 미로를 즐길 수 있는 가족 친화형 체험 관광지입니다.,계절 및 현장 상황에 따라 변동,064-784-3838,"성인 16,000원/청소년 14,000원", 33.48875, 126.80093
deurkumda-café,목장카페 드르쿰다,attraction,제주 서귀포시 표선면 번영로 2454,"반려동물 동반,휴식,사진",,넓은 초원 위 목장에서 여유로운 분위기를 즐길 수 있는 감성 카페입니다.,09:00-18:00,064-787-5220,품목별 상이, 33.4415, 126.8030
bangju-church,방주교회,attraction,제주 서귀포시 안덕면 산록남로762번길 113,"사진,문화",,"재일 교포 건축가로 일본과 한국에서 주로 활동하면서 건축물이 세워질 장소의 고유한 풍토, 지역성을 살려 인간의 삶에 어우러지는 건축을 추구하는 이타미 준(유동룡)이 노아의 방주를 모티브로 설계한 교회로, 아름다운 건축물로 유명하다.",계절 및 현장 상황에 따라 변동,064-794-0611,무료, 33.4550, 126.9410
udo-island,우도,attraction,제주 제주시 우도면,"자연,친구들,가족여행,사진",,제주도의 가장 큰 섬인 우도(牛島)는 소섬이라고도 부른다.,정보없음,064-782-5671,입도(배편) 요금 별도, 33.5043, 126.95405
bunker-of-light,빛의벙커,attraction,제주 서귀포시 성산읍 서성일로1168번길 89-17 A동,"문화,사진,휴식,친구들",,거대한 실내 공간에 몰입형 미디어아트 전시가 펼쳐지는 예술 전시관입니다.,10:00-18:20,1522-2653,"성인 19,000원/청소년 14,000원", 33.4320, 126.9220
saebyeol-friends,새별프렌즈,attraction,제주 제주시 애월읍 평화로 1529 새별프렌즈 동물원,"가족여행,친구들,반려동물 동반",,동물들과 교감하며 체험을 즐길 수 있는 자연형 애니멀파크입니다.,09:00-18:00,064-794-2828,"일반 18,000원", 33.3660, 126.3570
seopjikoji,섭지코지,attraction,제주 서귀포시 성산읍 고성리,"자연,사진,가족여행",,섭지코지는 코지(코지곶을 의미하는 제주 방언)라는 지명에서 알 수 있듯 코의 끄트리 모양 비죽 튀어나온 지형이다.,정보없음,064-782-2810,무료, 33.4586, 126.9326
seongeup-folk-village,성읍민속마을,attraction,제주 서귀포시 표선면 성읍리 3294,"문화,가족여행",,표선리에서 북쪽으로 8㎞쯤 가면 한라산 기슭 아래 성읍마을이 있다. ,정보없음,064-710-6797,무료, 33.3334, 126.7845
osulloc-tea-museum,오설록 티 뮤지엄,attraction,제주 서귀포시 안덕면 신화역사로 15 오설록,"휴식,사진,가족여행,친구들",,제주특별자치도 서귀포시 안덕면 서광리에 있는 사립 박물관.,09:00-18:00,0507-1418-5312,품목별 상이, 33.30601, 126.2901309
cheonjiyeon-falls,천지연폭포,attraction,제주 서귀포시 천지동 666-2,"자연,사진,가족여행",,"서귀포시 서귀3리 서북쪽에 그 이름 높은 천지연폭포(天池淵瀑布)가 있다. 높이가 22미터이고, 너비가 12미터인 이 폭포는 골짜기 양쪽에 울창한 숲과 기이한 바위가 절경이다.",계절 및 현장 상황에 따라 변동,064-733-1528,"일반 2,000원/청소년 1,000원", 33.2469, 126.5633
